,0
2017-09-01,1.1229950520895142
2017-09-08,1.12977933803666
2017-09-15,1.1342230895019556
2017-09-22,1.1283117423382685
2017-09-29,1.1185713207584
2017-10-13,1.1399987809203194
2017-10-20,1.1142352133220914
2017-10-27,1.1183648930485846
2017-11-03,1.0862684891494823
2017-11-10,1.1054480997879186
2017-11-17,1.0611139374349652
2017-11-24,1.038932877878645
2017-12-01,1.0505580551853808
2017-12-08,1.0333662552302054
2017-12-15,1.0345345097341225
2017-12-22,1.0204229342706037
2017-12-29,1.0236338167385126
2018-01-08,1.043733531389231
2018-01-15,1.0165861725148349
2018-01-22,1.0309602175565329
2018-01-29,1.0230637354213117
2018-02-05,0.9735561824891684
2018-02-12,0.9793208622219589
2018-02-26,1.0122360307471814
2018-03-05,1.0366334519051912
2018-03-12,1.0808970623645435
2018-03-19,1.059017597385696
2018-03-26,1.0170087816041047
2018-04-02,1.0574257057961132
2018-04-11,1.0581722057243013
2018-04-18,1.0281143366622258
2018-04-25,1.0285678652135248
2018-05-04,1.0185581163148605
2018-05-11,1.0354377417635285
2018-05-18,1.0379556500739338
2018-05-25,1.0349790654213242
2018-06-01,1.0131880967215745
2018-06-08,1.0003650003727622
2018-06-15,0.969802187966635
2018-06-25,0.9440528649365111
2018-07-02,0.9527765694308752
2018-07-09,0.9431581074162693
2018-07-16,0.9572562652253109
2018-07-23,0.9660987146443493
2018-07-30,0.9736789865160302
2018-08-06,0.9352268206747727
2018-08-13,0.9721941989296927
2018-08-20,0.9293780294201781
2018-08-27,0.9483922626662116
2018-09-03,0.9179006276184231
2018-09-10,0.9060177617031966
2018-09-17,0.8933481673728063
2018-09-25,0.9185727744789899
2018-10-09,0.8961557501337142
2018-10-16,0.8295424788984185
2018-10-23,0.8309243233280883
2018-10-30,0.8471864001583453
2018-11-06,0.88192947178887
2018-11-13,0.9176061433272714
2018-11-20,0.9250541232291383
2018-11-27,0.8964544708865728
2018-12-04,0.9079609579538217
2018-12-11,0.8986799708919678
2018-12-18,0.878529326157397
2018-12-25,0.8661874604364055
2019-01-03,0.8508216557885971
2019-01-10,0.883423914924448
2019-01-17,0.8876781842973546
2019-01-24,0.8969229415810638
2019-01-31,0.86641025921476
2019-02-14,0.9216710894283391
2019-02-21,0.9490704455920188
2019-02-28,1.0076955863949226
2019-03-07,1.0685005138661674
2019-03-14,1.035719535207023
2019-03-21,1.0816107809749362
2019-03-28,1.057866289104613
2019-04-04,1.1168266683349064
2019-04-12,1.0959536898144897
2019-04-19,1.100734110137415
2019-04-26,1.044574554618877
2019-05-08,1.0001225571176309
2019-05-15,1.0331347553680754
2019-05-22,1.0126183100843695
2019-05-29,1.0093195447578538
2019-06-05,0.9885935155629673
2019-06-13,1.0027080634300503
2019-06-20,1.0089061840165092
2019-06-27,1.0196169517100366
2019-07-04,1.0273878748014884
2019-07-11,0.9990056631162647
2019-07-18,0.9961724090076594
2019-07-25,0.9961934349224234
2019-08-01,0.9919296228005421
2019-08-08,0.9505630050919904
2019-08-15,0.950761302911007
2019-08-22,0.9813033857867918
2019-08-29,0.9846321700764697
2019-09-05,1.0039587632245615
2019-09-12,1.0221013303821551
2019-09-20,1.0150604202805005
2019-09-27,0.9846722788503287
2019-10-11,0.9951996845797995
2019-10-18,0.9784721019313604
2019-10-25,0.9800385553624835
2019-11-01,0.9670258853811442
2019-11-08,0.9626012088082122
2019-11-15,0.931660778044582
2019-11-22,0.9371886828935376
2019-11-29,0.9331695524915135
2019-12-06,0.952294261617788
2019-12-13,0.9626655973650466
2019-12-20,0.983362623665066
2019-12-27,0.9827864226628553
2020-01-06,1.0125259304952934
2020-01-13,1.028406318168012
2020-01-20,1.0185247352626092
2020-02-04,0.821166917794379
2020-02-11,0.8524251296119445
2020-02-18,0.8879072294689849
2020-02-25,0.8985876970375614
2020-03-03,0.9097505657138363
2020-03-10,0.9137813827523567
2020-03-17,0.8547994784007082
2020-03-24,0.8288259810498627
2020-03-31,0.8184552749585611
2020-04-08,0.8462201123343676
2020-04-15,0.8349491318477242
2020-04-22,0.8443795825832836
2020-04-29,0.823242539769495
2020-05-11,0.8513884242786044
2020-05-18,0.8432764284695826
2020-05-25,0.831664096452852
2020-06-01,0.8551905282258606
2020-06-08,0.8586804021976173
2020-06-15,0.8451887002028242
2020-06-22,0.8608530931887372
2020-07-01,0.8637323238876954
2020-07-08,0.9274107495229722
2020-07-15,0.9439500412441867
