,0
2017-09-01,1.235455823962766
2017-09-08,1.2431613639552275
2017-09-15,1.2499414444605907
2017-09-22,1.24305028005775
2017-09-29,1.2321804248429542
2017-10-13,1.2580202860821406
2017-10-20,1.2304853601228904
2017-10-27,1.2306656189276974
2017-11-03,1.1900322089982784
2017-11-10,1.207729844804437
2017-11-17,1.162020359054578
2017-11-24,1.1282229069868963
2017-12-01,1.1392090748482357
2017-12-08,1.124265304126013
2017-12-15,1.129763026249286
2017-12-22,1.1135005310808908
2017-12-29,1.115437405226468
2018-01-08,1.1357278908392539
2018-01-15,1.1063648883637272
2018-01-22,1.1221844238569296
2018-01-29,1.115328567255738
2018-02-05,1.068440583882499
2018-02-12,1.0616272319334783
2018-02-26,1.1021673319750247
2018-03-05,1.1212275232120719
2018-03-12,1.1651508715371266
2018-03-19,1.1428783747290958
2018-03-26,1.094140548830117
2018-04-02,1.1327387607881976
2018-04-11,1.1340728406810479
2018-04-18,1.106425490630661
2018-04-25,1.1068572517712385
2018-05-04,1.0962289204579783
2018-05-11,1.1113193010946587
2018-05-18,1.1143955381888266
2018-05-25,1.108608622982058
2018-06-01,1.0891096840611192
2018-06-08,1.0760584181806772
2018-06-15,1.0461475904946993
2018-06-25,1.0215903401383086
2018-07-02,1.0424303947040887
2018-07-09,1.024555280336228
2018-07-16,1.0378416520329994
2018-07-23,1.0517952465050295
2018-07-30,1.0614332205136041
2018-08-06,1.0206610837780552
2018-08-13,1.0559616329619081
2018-08-20,1.0111509067967586
2018-08-27,1.0297071523694483
2018-09-03,0.9983157483106031
2018-09-10,0.9900162276187922
2018-09-17,0.9703417080280775
2018-09-25,0.9964779478905449
2018-10-09,0.9696754502734023
2018-10-16,0.8848664235369932
2018-10-23,0.8856447507916823
2018-10-30,0.9042123828903953
2018-11-06,0.9535045142520564
2018-11-13,0.9938203213565995
2018-11-20,0.9993111002257498
2018-11-27,0.9683592369172616
2018-12-04,0.987133120544429
2018-12-11,0.9711573095455304
2018-12-18,0.9485788082699391
2018-12-25,0.9365142513676785
2019-01-03,0.9169575022751396
2019-01-10,0.9491031070848228
2019-01-17,0.9549550637509842
2019-01-24,0.9678464491071124
2019-01-31,0.9372949496678181
2019-02-14,0.9962294629095862
2019-02-21,1.0251336192821991
2019-02-28,1.0828696425595756
2019-03-07,1.1459579757955365
2019-03-14,1.1276484341434287
2019-03-21,1.1715962705506113
2019-03-28,1.1402262476586886
2019-04-04,1.2069133733743378
2019-04-12,1.1882661324083654
2019-04-19,1.1899466283507103
2019-04-26,1.1384696669199688
2019-05-08,1.074532781707689
2019-05-15,1.1049170471460548
2019-05-22,1.0857081156706656
2019-05-29,1.0779208840600496
2019-06-05,1.052234444258142
2019-06-13,1.0627907087870132
2019-06-20,1.071067688630998
2019-06-27,1.082914822454843
2019-07-04,1.093778966766772
2019-07-11,1.0631280767146134
2019-07-18,1.0609045393871066
2019-07-25,1.0638019422336595
2019-08-01,1.0582883208827076
2019-08-08,1.015116148990017
2019-08-15,0.9983332249811167
2019-08-22,1.030788374334281
2019-08-29,1.037077332999939
